Model,Dataset,RMSE,MAE,R2,Latency_ms_per_sample,Recovery_Time,Forgetting_Score,delta_RMSE,delta_Forgetting_Score
Full Context Replay (Proposed),NESO,1976.168261468623,1357.065270208813,0.9155829744218306,4.456371536127168,1.0,0.3158302049573502,—,—
A1 — No Level 1 (Drift-Gated Only),NESO,3269.0360140640487,2390.9595849864163,0.7689948744881961,0.6754913576589595,2.3333333333333335,0.38124735351960304,+1292.9,+0.1
A2 — No Level 2 (Per-Step Only),NESO,2127.5621168789903,1432.6230735101792,0.9021531828062743,4.071834361512525,1.0,0.3358546932357268,+151.4,+0.0
A3 — No Context Split (Unified k=10),NESO,2013.5189236033827,1378.262212366969,0.9123617620619895,4.049800859344894,1.0,0.3713667453706887,+37.4,+0.1
